productId,productName,price,productDetails,description,merchantName
6.89807E+18,Bondi Meal Prep - Vanilla Protein Powder,$65.00,Regular (1kg),,Bondi Meal Prep
,High Protein Ready Meals Delivered | 7 Meals,$82.00,"Choose 7 high protein meals from our mouth-watering menu. Where quality meets convenience, our handcrafted meals showcase the ...",,Chefgood
7.31841E+18,Strength Meals Co High Protein Italian Pork Pasta Meal 350g,$9.50,,,Woolworths
6.0417E+18,Strength Meals Co High Protein Chimichurri Chicken with Barley Bean Salad 350g,$8.50?$9.95,,,Woolworths
1.37153E+19,High Protein Meal Pack | 5 Meals | Hancrafted by Chefs,$59.50,"Where quality meets convenience, our high protein meals showcase the best fresh and local produce. Try our Everyday Wellness ...",,Chefgood
1.32582E+19,Strength Meals Co High Protein Slow Cooked BBQ Beef with Rice and Vegetables 350g,$8.50?$9.95,,,Woolworths
,Bondi Meal Prep - Build your box - 10 Meal Plan,$143.00,,,Bondi Meal Prep
,Lean Meals 10 Lean Meals - $91,$91.00,"Lean Portion Size: 250g Serving Size, +-300 Calories, 25-35g Protein, 25-35g Carbs, 8-14g FatPrices: 8 Lean Meals - $7810 Lean ...",,Lifestyle Meal Prep
9.90766E+18,5 Day High Protein Meal Plan | 10 Meals | Chefgood,$115.00,"Choose 5 lunches & 5 dinners from our high protein menu with generous portions. Where quality meets convenience, our ...",,Chefgood
1.08567E+19,Bondi Meal Prep - Chocolate Chip Protein Pancakes,$12.90,Regular (325g),,Bondi Meal Prep
1.25166E+19,Strength Meals Co Butter Chicken 350g,$9.50,,,Woolworths
,The Refresh Program | 14 Meals,$184.95,The Refresh Program allows you to combine the convenience of Tony Ferguson High Protein shakes with the wholesomeness of Be ...,,Be Fit Food
,Sustyfoods Meal Replacement Shakes | 20 Meals | Essential Original,$114.00,"Our Essential Meal Replacement Shakes are the perfect option for people who want a delicious, balanced and convenient meal ...","Our Essential Meal Replacement Shakes are the perfect option for people who want a delicious, balanced and convenient meal ...",Sustyfoods Australia
1.13949E+19,Dineamic High Protein Bundle,$59.00,"A selection of our high proteins meals to fuel your week and support performance. Whether that's at the gym, in the office or ...",,Dineamic
